model,cohort,regime,family,source,question_id,score,termination_reason,answer_source,agent_steps,llm_calls,forced_calls,attempted_feedback,visible_feedback,visible_article_calls,unique_visible_articles,repeat_article_deliveries,repeat_article_via_new_query,repeat_article_via_same_query,paid_feedback_calls,zero_cost_calls,withheld_feedback,withheld_charge_seconds,feedback_charge_seconds,total_cost_seconds,budget_seconds,budget_utilization,protocol_failures,trace_sha256,slot_id,old_score,score_changed
deepseek-v4-flash-0731,deepseek_original,cost_tight,whatis,phantom_seed2,20,0.0,time_budget_exceeded,forced_model_answer,4,5,1,4,3,3,3,0,0,0,4,0,1,314.35544427484274,1204.1894496046007,1204.1894496046007,900.0,1.3379882773384453,0,c5f996c420d912db2f8f40046c91d3b55cba348423ed0049ae538f253287f846,1ffc8267f37e2b5afc18e38b,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_tight,whatis,phantom_seed2,24,0.6666666666666666,time_budget_exceeded,forced_model_answer,3,4,1,3,2,2,2,0,0,0,3,0,1,309.80160591192544,903.4937958512455,903.4937958512455,900.0,1.003881995390273,0,0edbbea4e3e29fab781e62970fd694d038147148b2efc086ef201a72fabd29a6,ed63f67cca1d3f538ca03b18,0.6666666666666666,False
deepseek-v4-flash-0731,deepseek_original,cost_moderate,whatis,phantom_seed2,27,0.0,time_budget_exceeded,forced_model_answer,13,14,1,12,11,10,9,1,1,0,10,2,1,290.9448691550642,3031.7069613561034,3031.7069613561034,3000.0,1.0105689871187011,1,b57d1df147989c44aeb04a8bea4816d5f07a8fe721cc0621555aea8cc007df43,115ec2bcd9a5c887cd584578,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_moderate,whois,phantom_seed3,10,0.23529411764705882,natural_answer,natural_model_answer,5,5,0,3,3,3,3,0,0,0,3,0,0,0,908.8126324303448,908.8126324303448,3000.0,0.30293754414344826,1,a1bf50c6efde9c5144cb851fd2429a2b6748405f2d534e6102a33174e35f122a,c3b9aa614948e5f8860f5049,0.23529411764705882,False
deepseek-v4-flash-0731,deepseek_original,cost_tight,whatis,phantom_seed3,26,0.0,time_budget_exceeded,forced_model_answer,5,6,1,4,3,3,3,0,0,0,4,0,1,299.0086141321808,1197.7188103180379,1197.7188103180379,900.0,1.3307986781311532,1,f46709d47557868d0fab983e4665d6618033ad652a34ae36319c0078d0510fbe,c9b11a3fd629d39ab2e2abb2,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_tight,whois,phantom_seed3,9,0.0,time_budget_exceeded,forced_model_answer,6,7,1,5,4,4,3,1,1,0,4,1,1,292.71721210330725,1190.8917640615255,1190.8917640615255,900.0,1.3232130711794727,1,10ea45881ff65180f373404add43627fa9966801bd0365ecc894a4452f2f5ec4,2598905f377fad0fb9dc49b2,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_moderate,whatis,phantom_seed3,27,0.0,time_budget_exceeded,forced_model_answer,14,15,1,13,12,11,9,2,2,0,10,3,1,302.67762050032616,3020.781401898712,3020.781401898712,3000.0,1.0069271339662373,1,f89b9a1c674d77c13358bc70d5d956aab716a925edda35970afc6651ba3cb66e,10f879257cae00128f252b34,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_tight,whatis,phantom_seed3,33,0.0,aborted,forced_model_answer,4,5,1,2,2,2,2,0,0,0,2,0,0,0,590.1961258426309,590.1961258426309,900.0,0.6557734731584788,2,dd5ef85f8d31c5fcfa6569e2146b128c725f98af471415a3e3dbbb7f29918d95,6e6951f177fae81c71aa88f9,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_tight,whatis,phantom_seed2,21,0.0,time_budget_exceeded,forced_model_answer,5,6,1,4,3,3,3,0,0,0,4,0,1,313.25032028369606,1192.76493024081,1192.76493024081,900.0,1.3252943669342332,1,d069f8ec01e7d67cdaa4101f5e5603a57c3b80fc991a960f8321c901e93ee7bf,e7bd05bdd081b72e9887a5f9,0.0,False
deepseek-v4-flash-0731,deepseek_original,cost_moderate,whatis,phantom_seed3,36,0.0,max_steps_reached,forced_model_answer,30,31,1,29,29,23,9,14,14,0,9,20,0,0,2672.2178828995675,2672.2178828995675,3000.0,0.8907392942998559,1,55b19979468f8e3eed986f2e672b162eeaf80b28dace2a16a98d993229a57e15,77ad3a23a28846b6a18795e4,0.0,False
