model,baseline_beta,target_beta,direction,paired_expected,paired_known,old_mean_f1_difference,mean_f1_difference,delta_difference,historical_cohort_comparison,provider_cohort_change
gpt,20,1,target minus beta20,39,39,-0.5642749407455291,-0.5642749407455291,0.0,False,False
gpt,20,5,target minus beta20,39,39,-0.2639804639804641,-0.2639804639804641,0.0,False,False
gpt,20,10,target minus beta20,39,39,-0.03516483516483537,-0.03516483516483537,0.0,True,False
gpt,20,15,target minus beta20,39,39,-0.0009768009768010844,-0.0009768009768010844,0.0,False,False
kimi,20,1,target minus beta20,39,39,-0.5751011515717398,-0.5751011515717398,0.0,False,False
kimi,20,5,target minus beta20,39,39,-0.3215710215710215,-0.3215710215710215,0.0,False,False
kimi,20,10,target minus beta20,39,39,-0.07047331753214114,-0.07047331753214114,0.0,True,False
kimi,20,15,target minus beta20,39,39,0.008547008547008517,0.008547008547008517,0.0,False,False
glm,20,1,target minus beta20,39,39,-0.6133404051956088,-0.6133404051956088,0.0,False,False
glm,20,5,target minus beta20,39,39,-0.32779784318245864,-0.32779784318245864,0.0,False,False
glm,20,10,target minus beta20,39,39,-0.04742133401337989,-0.04742133401337989,0.0,True,False
glm,20,15,target minus beta20,39,39,-0.0323377477223632,-0.0323377477223632,0.0,False,False
qwen,20,1,target minus beta20,39,39,-0.542256218726807,-0.542256218726807,0.0,False,False
qwen,20,5,target minus beta20,39,39,-0.2370888370888371,-0.2370888370888371,0.0,False,False
qwen,20,10,target minus beta20,39,39,-0.0036223036223035354,-0.0036223036223035354,0.0,True,False
qwen,20,15,target minus beta20,39,39,-0.0027676027676027948,-0.0027676027676027948,0.0,False,False
deepseek,20,1,target minus beta20,39,39,-0.5565641330347212,-0.5565641330347212,0.0,False,False
deepseek,20,5,target minus beta20,39,39,-0.27226477226477225,-0.27226477226477225,0.0,False,False
deepseek,20,10,target minus beta20,39,39,-0.11463351463351468,-0.11463351463351468,0.0,True,False
deepseek,20,15,target minus beta20,39,39,0.0090132090132089,0.0090132090132089,0.0,False,False
gemini,20,1,target minus beta20,39,39,-0.6371515195044607,-0.6371515195044607,0.0,False,False
gemini,20,5,target minus beta20,39,39,-0.3234667293490823,-0.3234667293490823,0.0,False,False
gemini,20,10,target minus beta20,39,39,-0.0966657525481055,-0.0966657525481055,0.0,True,True
gemini,20,15,target minus beta20,39,39,-0.05342903757226014,-0.05342903757226014,0.0,False,False
