model,budget,doc_index,doc_id,order,source_cohort,trace_sha256,trace_bytes,hypothesis_count,label_acc,evidence_acc,joint_acc,label_correct_wrong_evidence_rate,correct_label_wrong_evidence_conditional,tool_calls,visible_tool_calls,distinct_hypotheses,repeat_calls,gold_nonempty_query_calls,gold_empty_query_calls,feedback_correct,feedback_incomplete,feedback_irrelevant,first_fixed_example,last_feedback_not_exact,termination_reason,answer_source,agent_steps,simulated_feedback_cost,budget_limit,budget_fraction,residual_less_than_min_call,residual_at_least_max_call,zero_feedback,visible_distinct_hypotheses,visible_repeat_calls,visible_feedback_correct,visible_feedback_incomplete,visible_feedback_irrelevant,visible_last_feedback_not_exact,hidden_result_count,natural_answer,time_budget_exceeded,max_steps_reached,visible_nonempty_query_calls,nonempty_n,nonempty_label_correct,nonempty_evidence_exact,nonempty_joint_correct,nonempty_label_correct_wrong_evidence,nonempty_missing_any,nonempty_extra_any,nonempty_evidence_precision,nonempty_evidence_recall,nonempty_queried,nonempty_correct_label_wrong_evidence_conditional,empty_n,empty_label_correct,empty_evidence_exact,empty_joint_correct,empty_label_correct_wrong_evidence,empty_missing_any,empty_extra_any,empty_evidence_precision,empty_evidence_recall,empty_queried,empty_correct_label_wrong_evidence_conditional,slot_id,source_sha256,source_origin,historical_source_sha256,agent_id,score_version,answer_change_reason,verification_eff,visible_verification_eff
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,225501,17,1.0,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.29411764705882354,30,30,12,18,23,7,12,6,12,1,0,max_steps_reached,forced_model_answer,30,9072.357673030347,,,,,0,12,18,12,6,12,0,0,0,0,1,23,13,1,0.6153846153846154,0.6153846153846154,0.38461538461538464,0.3076923076923077,0.23076923076923078,0.8333333333333334,0.7948717948717948,0.6153846153846154,0.38461538461538464,4,1,1,1,0,0,0,1.0,1.0,1,0.0,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,existing_trace_rescored,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,467047,17,0.7647058823529411,0.35294117647058826,0.35294117647058826,0.4117647058823529,0.5384615384615384,2,2,1,1,0,2,1,0,1,1,0,empty_model_response,forced_model_answer,4,622.8957481030375,,,,,0,1,1,1,0,1,0,0,0,0,0,0,13,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.5384615384615384,0.6923076923076923,0.23076923076923078,0.5897435897435898,0.5,0,0.7,4,0.75,0.75,0.75,0,0,0.25,0.75,1.0,0.25,0.0,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,existing_trace_rescored,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged,0.16666666666666666,0.16666666666666666
deepseek-v4-flash-0731,cost_free,0,1,2,deepseek_original,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,252682,17,1.0,0.5882352941176471,0.5882352941176471,0.4117647058823529,0.4117647058823529,30,30,6,24,26,4,5,7,18,1,1,max_steps_reached,forced_model_answer,30,9081.861177412793,,,,,0,6,24,5,7,18,1,0,0,0,1,26,13,1,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.38461538461538464,0.3076923076923077,0.8717948717948718,0.8333333333333334,0.3076923076923077,0.5384615384615384,4,1,1,1,0,0,0,1.0,1.0,0.5,0.0,4bc6433807e7a491ec0881a9,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,existing_trace_rescored,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,-1,new,unchanged,0.5,0.5
deepseek-v4-flash-0731,cost_free,1,2,0,deepseek_original,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,304784,17,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,27,27,11,16,22,5,11,6,10,1,1,empty_model_response,forced_model_answer,29,8201.344429058954,,,,,0,11,16,11,6,10,1,0,0,0,0,22,14,0.9285714285714286,1,0.9285714285714286,0,0,0,1.0,1.0,0.7142857142857143,0.0,3,1,1,1,0,0,0,1.0,1.0,0.3333333333333333,0.0,19193789061d527701784c53,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,existing_trace_rescored,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,-1,new,unchanged,0.625,0.625
deepseek-v4-flash-0731,cost_free,1,2,1,deepseek_original,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,233367,17,0.0,0.0,0.0,0.0,,27,27,14,13,19,8,14,5,8,0,0,max_steps_reached,forced_model_answer,30,8016.3615267165005,,,,,0,14,13,14,5,8,0,0,0,0,1,19,14,0,0,0,0,1,0,0.0,0.0,0.7857142857142857,,3,0,0,0,0,0,0,1.0,1.0,1,,3f42c6d29761ee5375eeac72,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,existing_trace_rescored,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,1,2,2,deepseek_original,424c6c0ac43232bae3c6bda58b5e96e448e48d00942e411c82bd4a27fbb7c13b,233249,17,0.0,0.0,0.0,0.0,,27,27,15,12,25,2,14,4,9,1,1,natural_answer,natural_model_answer,29,8120.99564306438,,,,,0,15,12,14,4,9,1,0,1,0,0,25,14,0,0,0,0,1,0,0.0,0.0,0.9285714285714286,,3,0,0,0,0,0,0,1.0,1.0,0.6666666666666666,,3d5665bd363c2d70c0ff2a76,424c6c0ac43232bae3c6bda58b5e96e448e48d00942e411c82bd4a27fbb7c13b,existing_trace_rescored,424c6c0ac43232bae3c6bda58b5e96e448e48d00942e411c82bd4a27fbb7c13b,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,2,4,0,deepseek_original,f013bc5110eafb125af65987d8a931a0c454863b83a90439dc25f04a6693594a,289904,17,1.0,1.0,1.0,0.0,0.0,28,28,17,11,9,19,17,3,8,1,1,natural_answer,natural_model_answer,30,8414.241436077282,,,,,0,17,11,17,3,8,1,0,1,0,0,9,6,1,1,1,0,0,0,1.0,1.0,1,0.0,11,1,1,1,0,0,0,1.0,1.0,1,0.0,e7adf01cd8cebd93935274af,f013bc5110eafb125af65987d8a931a0c454863b83a90439dc25f04a6693594a,existing_trace_rescored,f013bc5110eafb125af65987d8a931a0c454863b83a90439dc25f04a6693594a,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,2,4,1,deepseek_original,05f6290b2228c11448bd2238854022ee68d1e50c153692128e6453cb6a59f505,211965,17,0.0,0.0,0.0,0.0,,1,1,1,0,0,1,0,0,1,1,1,aborted,,3,304.2015711776912,,,,,0,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,1,0,0.0,0.0,0,,11,0,0,0,0,0,0,1.0,1.0,0.09090909090909091,,7e6507ffbc87bbb214732f5e,05f6290b2228c11448bd2238854022ee68d1e50c153692128e6453cb6a59f505,existing_trace_rescored,05f6290b2228c11448bd2238854022ee68d1e50c153692128e6453cb6a59f505,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,2,4,2,deepseek_original,1d2e295d642e515dcd63a57f32f8c298b0f1a2495b49cf4b3bc121c5c3260865,341516,17,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,25,25,17,8,9,16,17,2,6,1,0,natural_answer,natural_model_answer,27,7463.598644975573,,,,,0,17,8,17,2,6,0,0,1,0,0,9,6,0.8333333333333334,1,0.8333333333333334,0,0,0,1.0,1.0,1,0.0,11,1,1,1,0,0,0,1.0,1.0,1,0.0,d3373a7f2a58802e9166fdf1,1d2e295d642e515dcd63a57f32f8c298b0f1a2495b49cf4b3bc121c5c3260865,existing_trace_rescored,1d2e295d642e515dcd63a57f32f8c298b0f1a2495b49cf4b3bc121c5c3260865,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,3,5,0,deepseek_original,457059096cb0a094def2be11c2a8e8b21e4a91b5569ee1f2827e9442c83fa71b,204227,17,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,26,26,17,9,10,16,17,3,6,1,0,natural_answer,natural_model_answer,28,7727.211311422288,,,,,0,17,9,17,3,6,0,0,1,0,0,10,5,0.8,1,0.8,0,0,0,1.0,1.0,1,0.0,12,1,1,1,0,0,0,1.0,1.0,1,0.0,2ffc40e9fd1b73f2841e5acf,457059096cb0a094def2be11c2a8e8b21e4a91b5569ee1f2827e9442c83fa71b,existing_trace_rescored,457059096cb0a094def2be11c2a8e8b21e4a91b5569ee1f2827e9442c83fa71b,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,3,5,1,deepseek_original,c29e9f2de7644040e8ea4895657f09e725339a62f0cccaa6bff868c5db2f5bd1,260122,17,0.9411764705882353,1.0,0.9411764705882353,0.0,0.0,23,23,17,6,7,16,17,2,4,0,0,natural_answer,natural_model_answer,25,6821.640733694658,,,,,0,17,6,17,2,4,0,0,1,0,0,7,5,0.8,1,0.8,0,0,0,1.0,1.0,1,0.0,12,1,1,1,0,0,0,1.0,1.0,1,0.0,13801e8fc8d8f749cabd2a65,c29e9f2de7644040e8ea4895657f09e725339a62f0cccaa6bff868c5db2f5bd1,existing_trace_rescored,c29e9f2de7644040e8ea4895657f09e725339a62f0cccaa6bff868c5db2f5bd1,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,3,5,2,deepseek_original,b66369400462f5ce0900202c3c74a2f71459197414bed606df78e6eabd477c59,166978,17,0.0,0.0,0.0,0.0,,12,12,9,3,2,10,8,1,3,0,1,empty_model_response,forced_model_answer,14,3590.9637680649757,,,,,0,9,3,8,1,3,1,0,0,0,0,2,5,0,0,0,0,1,0,0.0,0.0,0.4,,12,0,0,0,0,0,0,1.0,1.0,0.5833333333333334,,ffcb699add103836ea12a816,b66369400462f5ce0900202c3c74a2f71459197414bed606df78e6eabd477c59,existing_trace_rescored,b66369400462f5ce0900202c3c74a2f71459197414bed606df78e6eabd477c59,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,4,6,0,deepseek_original,0bdb8bf9118c6549d5b72faf7b2ac51c205a26ad39b530ce0c2be800e26844ce,209753,17,0.0,0.0,0.0,0.0,,29,29,17,12,21,8,16,3,10,1,1,max_steps_reached,forced_model_answer,30,8722.263094279915,,,,,0,17,12,16,3,10,1,0,0,0,1,21,11,0,0,0,0,1,0,0.0,0.0,1,,6,0,0,0,0,0,0,1.0,1.0,1,,f8b93f936dc35914d4fd0577,0bdb8bf9118c6549d5b72faf7b2ac51c205a26ad39b530ce0c2be800e26844ce,existing_trace_rescored,0bdb8bf9118c6549d5b72faf7b2ac51c205a26ad39b530ce0c2be800e26844ce,-1,new,unchanged,,
deepseek-v4-flash-0731,cost_free,4,6,1,deepseek_original,0ef463dde8532c4706748f68289e5544a69781acab877b930d715832a5951a55,179926,17,0.8823529411764706,0.6470588235294118,0.6470588235294118,0.23529411764705882,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,aborted,forced_model_answer,2,0.0,,,,,1,0,0,0,0,0,0,0,0,0,0,0,11,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.45454545454545453,0.09090909090909091,0.7727272727272727,0.6818181818181818,0,0.4444444444444444,6,1,1,1,0,0,0,1.0,1.0,0,0.0,05de8e772e53af8f9f1a40d6,0ef463dde8532c4706748f68289e5544a69781acab877b930d715832a5951a55,existing_trace_rescored,0ef463dde8532c4706748f68289e5544a69781acab877b930d715832a5951a55,-1,new,unchanged,0.0,0.0
deepseek-v4-flash-0731,cost_free,4,6,2,deepseek_original,301498e4ed822b004def1679bbf1e66fc01dcc01913bb3019c9ebe8b25fd7b45,189200,17,1.0,1.0,1.0,0.0,0.0,29,29,14,15,25,4,14,5,10,1,0,max_steps_reached,forced_model_answer,30,8713.484245762229,,,,,0,14,15,14,5,10,0,0,0,0,1,25,11,1,1,1,0,0,0,1.0,1.0,1,0.0,6,1,1,1,0,0,0,1.0,1.0,0.5,0.0,4af6a2e4232e9d3ec61ae989,301498e4ed822b004def1679bbf1e66fc01dcc01913bb3019c9ebe8b25fd7b45,existing_trace_rescored,301498e4ed822b004def1679bbf1e66fc01dcc01913bb3019c9ebe8b25fd7b45,-1,new,unchanged,0.8235294117647058,0.8235294117647058
deepseek-v4-flash-0731,cost_free,5,8,0,deepseek_original,db9d359bf69b85c7da564e462e824fa208a1fd2718c7753581be288251345374,276803,17,0.8823529411764706,1.0,0.8823529411764706,0.0,0.0,26,26,17,9,8,18,17,3,6,0,1,natural_answer,natural_model_answer,28,7723.2637351658195,,,,,0,17,9,17,3,6,1,0,1,0,0,8,4,0.5,1,0.5,0,0,0,1.0,1.0,1,0.0,13,1,1,1,0,0,0,1.0,1.0,1,0.0,5a9508756bb11b6f0edb7c6c,db9d359bf69b85c7da564e462e824fa208a1fd2718c7753581be288251345374,existing_trace_rescored,db9d359bf69b85c7da564e462e824fa208a1fd2718c7753581be288251345374,-1,new,unchanged,1.0,1.0
deepseek-v4-flash-0731,cost_free,5,8,1,deepseek_original,a69a5dbac7a6e7ac0bc649bee10f6666571334341a13d334c3f1b428fcc2938e,97216,17,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.058823529411764705,0.07142857142857142,1,1,1,0,0,1,0,0,1,1,1,aborted,forced_model_answer,3,306.01335200481117,,,,,0,1,0,0,0,1,1,0,0,0,0,0,4,0.5,0.75,0.25,0.25,0.25,0,1.0,0.875,0,0.5,13,0.9230769230769231,0.9230769230769231,0.9230769230769231,0,0,0.07692307692307693,0.9230769230769231,1.0,0.07692307692307693,0.0,5a1e62993e145d5a47809487,a69a5dbac7a6e7ac0bc649bee10f6666571334341a13d334c3f1b428fcc2938e,existing_trace_rescored,a69a5dbac7a6e7ac0bc649bee10f6666571334341a13d334c3f1b428fcc2938e,-1,new,unchanged,0.0,0.0
