slot_id,model,system,scenario,regime,strategy,item,seed,legacy_metrics_json,existing_trace_rescored_metrics_json,new_runtime_metrics_json,changed_from_legacy,changed_from_existing_trace_rescore,selection_reason,source_layer,old_result_sha256,result_sha256,new_job_id
17f16ab49e40134d09e4f126,qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,poolact,phantom_seed2:12,2200,"{""f1_mi"":1.0,""f1_mv"":1.0}","{""f1_mi"": 1.0, ""f1_mv"": 1.0}","{""f1_mi"":1.0,""f1_mv"":1.0}",False,False,raw_API_verified_earlier_natural_stop,new_runtime_control,1c4e2f1c8129efbd6fb0bca63a7da6586d8f92ef62ce716807af3dcaced0cdd6,3d8b9d7d69000799c5ee196852de584aa5a4ed4aa315c713cbab94cb7ef702b2,job_f7164246e7c863829aa269176d8f00f9a237d4316fd21a5d8e3c09692da1ccc0
1af4cc84a9789c34054221ad,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:1,2200,"{""evidence_acc_mi"":0.7058823529411765,""evidence_acc_mv"":0.7647058823529411,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.8823529411764706}","{""evidence_acc_mi"": 0.7058823529411765, ""evidence_acc_mv"": 0.7647058823529411, ""label_acc_mi"": 0.8823529411764706, ""label_acc_mv"": 0.8823529411764706}","{""evidence_acc_mi"":0.7352941176470589,""evidence_acc_mv"":0.7647058823529411,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.8823529411764706}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,d23485a47511a586146ca842c6f845dd9cf1634bceb0540d871722c331e0ce10,e87be6e8f73cc54a752642796cd7bf11016a2267e0fecea43545a915c635467c,job_3ef6fc29a3e3bf2550a9292e2f70a83d39b34a1ec01189f23b440e45b03f299d
2a395d2e30d11c9e0cd0c6d0,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:9,2200,"{""evidence_acc_mi"":1.0,""evidence_acc_mv"":1.0,""label_acc_mi"":0.8970588235294117,""label_acc_mv"":0.8823529411764706}","{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.8970588235294117, ""label_acc_mv"": 0.8823529411764706}","{""evidence_acc_mi"":0.9411764705882353,""evidence_acc_mv"":1.0,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.9411764705882353}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,3998427e3c3472d7a8b5a597e5c6dc9931619ebd38154a24ead7d3af5e2221c3,0fd755ea27e024c2c9d4a044322329d2bbc8f47b6c6ec6a7b6d7f1e4d6075e67,job_7cf90282d8ac74e979f34ffced4832f5f49dc8cc0ae56bfc31f68f25a0f05a7d
34147bb84bd134f2b3322cec,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:2,2200,"{""evidence_acc_mi"":1.0,""evidence_acc_mv"":1.0,""label_acc_mi"":0.9705882352941176,""label_acc_mv"":1.0}","{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.9705882352941176, ""label_acc_mv"": 1.0}","{""evidence_acc_mi"":1.0,""evidence_acc_mv"":1.0,""label_acc_mi"":1.0,""label_acc_mv"":1.0}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,e438c53db6878aa285413ab18a1ffcd44d35af7a7275a49d9dc6a2fe35f9004d,516a0eb47af74350151a345ef89c3e96e5a501727d75edc7dc3716d54b432cb8,job_7d4704d336d9224609cdcbd9be6abe44fda456cb63fc799f9cf22e155e4db847
45838801285306246f30f575,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:9,2200,"{""evidence_acc_mi"":0.5882352941176471,""evidence_acc_mv"":0.47058823529411764,""label_acc_mi"":0.8088235294117647,""label_acc_mv"":0.8235294117647058}","{""evidence_acc_mi"": 0.5882352941176471, ""evidence_acc_mv"": 0.47058823529411764, ""label_acc_mi"": 0.8088235294117647, ""label_acc_mv"": 0.8235294117647058}","{""evidence_acc_mi"":0.6617647058823529,""evidence_acc_mv"":0.8235294117647058,""label_acc_mi"":0.8088235294117647,""label_acc_mv"":0.8235294117647058}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,f880e7614396505c973aae4203d13dd6ee18fb087b512479a7c4d4ba8f3cf302,3e28d0fffd888e4ad87714ee845d4a13dfb76600f013701d4cfc17c59d196b9c,job_70e65aa9e5f054e0fdc7aa284f5cff5a23555e05b98d3d1ae2800fc18425228a
63286b184c2fa48ded49005b,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,poolact,cc-large:8,2200,"{""evidence_acc_mi"":0.9117647058823529,""evidence_acc_mv"":1.0,""label_acc_mi"":0.9852941176470589,""label_acc_mv"":1.0}","{""evidence_acc_mi"": 0.9117647058823529, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 0.9852941176470589, ""label_acc_mv"": 1.0}","{""evidence_acc_mi"":0.75,""evidence_acc_mv"":1.0,""label_acc_mi"":0.75,""label_acc_mv"":1.0}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,a154e666801c8b897db3f6c9689772c1bf0477e86014737859704f98eccb31f1,84dbe3f252122098c1b51f75b9c2fa4d533936eadff8155a0599301f22e065f6,job_2f04e0ec98e8fa94e3d0e9c4417d6bde72f608c6346da7cd13ff369bee50c7b7
7415b559c9ae98c15b028021,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:2,2200,"{""evidence_acc_mi"":0.8676470588235294,""evidence_acc_mv"":0.8823529411764706,""label_acc_mi"":0.838235294117647,""label_acc_mv"":0.8823529411764706}","{""evidence_acc_mi"": 0.8676470588235294, ""evidence_acc_mv"": 0.8823529411764706, ""label_acc_mi"": 0.838235294117647, ""label_acc_mv"": 0.8823529411764706}","{""evidence_acc_mi"":0.8823529411764706,""evidence_acc_mv"":0.8823529411764706,""label_acc_mi"":0.8529411764705882,""label_acc_mv"":0.8823529411764706}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,056d63670002d074a60e3b0ed11f00aa709917f9b924bac6ab00fb92f12e805b,5470138ca6ef010adf75fd618d4bd8fc498a768561d22b3fdd3981920d759541,job_6145f065ba4808365d1e24dbd19ea9341ecacf9491ee382cbcd5925cbff7a1db
aa8511993d6ec60b40bac3d5,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:10,2200,"{""evidence_acc_mi"":0.6029411764705883,""evidence_acc_mv"":0.5882352941176471,""label_acc_mi"":1.0,""label_acc_mv"":1.0}","{""evidence_acc_mi"": 0.6029411764705883, ""evidence_acc_mv"": 0.5882352941176471, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}","{""evidence_acc_mi"":0.6029411764705883,""evidence_acc_mv"":0.6470588235294118,""label_acc_mi"":0.9117647058823529,""label_acc_mv"":0.9411764705882353}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,ab84266c42291e56e95a058e097a1d03eef03e7194394fafc517dcc541f7f4de,786815fa469b0b36360bee8d1d49a324346e40d06aef5537e80fa2c6ab0d5bf1,job_7f7c5a18794dd705ab3f3f44f4d76c9e13a193602dddbe96183ed96d5414e703
b17fc226bb045789df8c3d49,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:8,2200,"{""evidence_acc_mi"":1.0,""evidence_acc_mv"":1.0,""label_acc_mi"":1.0,""label_acc_mv"":1.0}","{""evidence_acc_mi"": 1.0, ""evidence_acc_mv"": 1.0, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}","{""evidence_acc_mi"":1.0,""evidence_acc_mv"":1.0,""label_acc_mi"":1.0,""label_acc_mv"":1.0}",False,False,raw_API_verified_earlier_natural_stop,new_runtime_control,ab7fb9f98b060113892a7ad6924296f1d0c2a2f417840c001b6b22ed8f12110c,0a928acb89ec5c72ab2be5ee4bd7d5aa90497faf67b5ffa43f1a6fc297556292,job_7f896c7d7b45cd27a6b8b90818fb37672bc6c3f43ddbb41729bd56d8587b4651
b61bf7439794536f53c71d69,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:11,2200,"{""evidence_acc_mi"":0.9117647058823529,""evidence_acc_mv"":0.9411764705882353,""label_acc_mi"":1.0,""label_acc_mv"":1.0}","{""evidence_acc_mi"": 0.9117647058823529, ""evidence_acc_mv"": 0.9411764705882353, ""label_acc_mi"": 1.0, ""label_acc_mv"": 1.0}","{""evidence_acc_mi"":0.9558823529411764,""evidence_acc_mv"":1.0,""label_acc_mi"":0.9705882352941176,""label_acc_mv"":1.0}",True,True,raw_API_verified_earlier_natural_stop,new_runtime_control,70785951469b5fb66037b28a80c7e1f25adfe5210539306ed92db5042f7dfda9,1b50208310cd5b3603b9fa95b2c867024f34a74edc702eea7f85a06f7b3bc029,job_9ca617400b7370c7b63138ace3640324cb0b40da8a06f0468ce9b42c17bdedcb
