model,baseline_beta,target_beta,direction,paired_known,paired_expected,mean_f1_difference,historical_cohort_comparison,provider_cohort_change
gpt,20,1,target minus beta20,39,39,-0.5642749407455291,False,
gpt,20,5,target minus beta20,39,39,-0.2639804639804641,False,
gpt,20,10,target minus beta20,39,39,-0.03516483516483537,True,
gpt,20,15,target minus beta20,39,39,-0.0009768009768010844,False,
kimi,20,1,target minus beta20,39,39,-0.5751011515717398,False,
kimi,20,5,target minus beta20,39,39,-0.3215710215710215,False,
kimi,20,10,target minus beta20,39,39,-0.07047331753214114,True,
kimi,20,15,target minus beta20,39,39,0.008547008547008517,False,
glm,20,1,target minus beta20,39,39,-0.6133404051956088,False,
glm,20,5,target minus beta20,39,39,-0.32779784318245864,False,
glm,20,10,target minus beta20,39,39,-0.04742133401337989,True,
glm,20,15,target minus beta20,39,39,-0.0323377477223632,False,
qwen,20,1,target minus beta20,39,39,-0.542256218726807,False,
qwen,20,5,target minus beta20,39,39,-0.2370888370888371,False,
qwen,20,10,target minus beta20,39,39,-0.0036223036223035354,True,
qwen,20,15,target minus beta20,39,39,-0.0027676027676027948,False,
deepseek,20,1,target minus beta20,39,39,-0.5565641330347212,False,
deepseek,20,5,target minus beta20,39,39,-0.27226477226477225,False,
deepseek,20,10,target minus beta20,39,39,-0.11463351463351468,True,
deepseek,20,15,target minus beta20,39,39,0.0090132090132089,False,
gemini,20,1,target minus beta20,39,39,-0.6371515195044607,False,False
gemini,20,5,target minus beta20,39,39,-0.3234667293490823,False,False
gemini,20,10,target minus beta20,39,39,-0.0966657525481055,True,True
gemini,20,15,target minus beta20,39,39,-0.05342903757226014,False,False
