model,beta,data_source,question_index,slot_id,main_overlap_slot_id,source_sha256,old_f1,new_f1,delta_f1,answer_changed,score_changed,old_missing_final,new_missing_final,extraction_source,reason,score_version
gpt,1,phantom_seed2,0,whois:gpt:beta1:phantom_seed2:0:R1,,e985f4d838520132953b9f4b55a5994eb9a3eb73e8d744ee69bf423bccd54a12,1.0,1.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,1,whois:gpt:beta1:phantom_seed2:1:R1,,15af9119a226c3ec2f6a45c4b25e10445b35206e52c6041d32944b713e47d873,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,2,whois:gpt:beta1:phantom_seed2:2:R1,,3bff03eac20f498a3681b31e7ca0f8a7ef7f9c113d51eba62e9e5d8d20f0e3a7,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,3,whois:gpt:beta1:phantom_seed2:3:R1,,a735cd2dc7de0840c19086a3cab49be278f382b0e33c210fb1caeb64126b7889,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,4,whois:gpt:beta1:phantom_seed2:4:R1,,24ce467dd61271707716b9cecef07b9500bd49fc4da8599d27cf2d98bb02f08b,0.6666666666666666,0.6666666666666666,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,5,whois:gpt:beta1:phantom_seed2:5:R1,,aa68625e529eca2d82d4faf40807561be88e1376a67dad6c41a143d976cb2001,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,6,whois:gpt:beta1:phantom_seed2:6:R1,,b681399796470026e6dc58e574f3faf15a42add2fbba6b615300ac2e537224b9,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,7,whois:gpt:beta1:phantom_seed2:7:R1,,6d42909a6aa19c634a0b05923cf3c286d4e9eecc1af0b6d8d95449b3299d8928,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,8,whois:gpt:beta1:phantom_seed2:8:R1,,5ccf3c91aeb6d88050461eb12b9df524d4c2ce8b451909ecc250d3922bf23710,0.5,0.5,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
gpt,1,phantom_seed2,9,whois:gpt:beta1:phantom_seed2:9:R1,,4b95b7d653263ad553665fc5adb24d5f535685a1c5d17fcc1c2fbbfbe5b6a82b,0.0,0.0,0.0,False,False,False,False,parse_final_answer_native_terminal,unchanged_recomputed_from_terminal_response,formal_protocol_repair_v1
