model,source,question_id,family,free_score,tight_score,score_change,free_visible,tight_visible,free_unique_articles,tight_unique_articles,shared_articles,common_article_prefix,same_first_article,tight_is_free_prefix,tight_term,free_term,tight_trace_path,free_trace_path
deepseek-v4-flash-0731,phantom_seed3,22,whatis,1.0,0.0,-1.0,7,4,7,3,3,1,True,False,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_61a80823818ef584a5a1c2207ba278d0efb005f0688018d4aa3af869b457e97f/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_22_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_16e657ea83cf1a10ef7aeab5675b4df080d253007b0cc7e787bb8bf41524d9bd/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_22_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,1,whois,1.0,0.0,-1.0,12,3,12,3,3,3,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_c1487913b97a07d403a5d003fa4a5dcb292f1311e4dea3efaad6dba863ee57ab/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_1_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_184b8e27522ac947dd158c674249f19ec894afecffa783d84a0747c063469d6d/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_1_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,10,whois,0.4,0.0,-0.4,11,11,5,3,1,3,True,False,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_d24955619ab28a969254e3684c640e097369540ccda752e60828a4cde36a8b00/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_10_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_1af3180fa57afd804aec3a116f246ea957f5794febb8022523fcb4fc2d5aba17/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_10_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,12,whois,0.0,0.0,0.0,29,5,10,2,2,3,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_ea2e6fb3e0d65442e26e023b3620412741ce29fa1f51ca6e4909a1aed40f80e3/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_12_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_1b6b9eca6d6ddef62c417427e0e592126fef89eef33820e42c12666be736035b/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_12_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,4,whois,0.6666666666666666,0.6666666666666666,0.0,14,2,11,2,2,2,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_abda9673915039dc166c517630cb229b96690c8e5d8c30e6e941f99516299f9b/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_4_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_20940d6cc582e267ce16648547590ddf4b5099ee1db098a2fc8dcdcc3de4ec5b/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_4_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,20,whatis,1.0,0.0,-1.0,6,3,6,3,3,3,True,True,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_006abb91265005f95dd344f0bd0231f92035418a4bebe4096a579663b9420fe0/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_20_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2147554e07f30c25227e89d29e62199c54e0cdc15fa7a7a82551ea7121756f35/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_20_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,30,whatis,0.13333333333333333,0.0,-0.13333333333333333,24,3,16,3,3,3,True,True,time_budget_exceeded,aborted,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_773c9edf936162b58112bd8c3ab15a23037bf16865336731c5e2adaad036e08c/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_30_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2528633989e3299f7a7dc4afb21ca0734b6533a161753cf841b8e9a937187e74/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_30_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,35,whatis,0.0,0.0,0.0,30,3,10,2,2,1,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_16e06d40eb630f21f60f53396a6fc0acde3626bf66a55922c29c52ee1d2e659e/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_35_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_284c0a0bfc3f82bbdcc0c976fcdee59e91adedafabbf1aaf0f743eb61fce536a/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_35_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,27,whatis,0.0,0.0,0.0,29,2,25,2,2,2,True,True,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_b1a490c79cc66f8f073f8f237626a8170b3afc7af450abd88b985823df166be0/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_27_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_284f207144fba43c17831e0b4e9808ae1506990b8c2edae144dd6819149fd97e/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_27_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,6,whois,0.0,0.0,0.0,6,10,4,3,2,4,True,False,time_budget_exceeded,empty_model_response,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_c0f596f286ecc71ba3a7d59bff7552353f50114e25b47c8bd0c65b5c0b5ab079/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_6_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2a494dd9abc91f2466979bc32d2ee312ef9485b57ae14db33eff47021050954a/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_6_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,27,whatis,0.0,0.0,0.0,29,3,24,3,3,1,True,False,time_budget_exceeded,max_steps_reached,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_35221e8d6ccde06ad8fae6acdf634d5b4c903a9c2709f754de27dfda9d49197b/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_27_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2d515a96d5dd451cc29e6b29227872b2a6c8dbd550ca8ea0524f2e58257d7e3d/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_27_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed2,14,whois,1.0,0.5,-0.5,18,4,14,3,3,2,True,False,time_budget_exceeded,natural_answer,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2b5b372381d4ea08ef5574d40795ffacd40ab0363a88b6507f5fef5dfd79b03d/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed2_14_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2faa98de8cb1fa75904326c4f8b2bc8f01b6181510b61ec34e266ea33d9ff2fc/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed2_14_r0_s2200.json
deepseek-v4-flash-0731,phantom_seed3,23,whatis,0.0,0.0,0.0,4,3,4,3,3,3,True,True,time_budget_exceeded,empty_model_response,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_9ad87ca346d43780e911725f2081120eaa1244e8f3acdf6a92d517c17b576f11/result/deepseek-v4-flash-0731_cost_tight/traces-v2/restricted_search_phantom_seed3_23_r0_s2200.json,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_2fc47aad147e1057de7705fba7480f21961c6e6c4277468a99253d8da6bf1e36/result/deepseek-v4-flash-0731_cost_free/traces-v2/restricted_search_phantom_seed3_23_r0_s2200.json
