scientific_slot_id,source_scientific_slot_id,study_group,scenario,regime,strategy,reported_agents,effort,cohort,item,repeat,derivation,metrics,logical_additive_cost
slot_a20569470180eea53324319577cab4332555baf7a042226efcbc78ed5d4fc8a3,slot_a20569470180eea53324319577cab4332555baf7a042226efcbc78ed5d4fc8a3,scaling,evidence_audit,cost_moderate,poolact,2,max,new,contract-nli/index1,0,direct,"{""EA_MI"": 0.9411764705882353, ""EA_MV"": 0.9411764705882353, ""LA_MI"": 0.8823529411764706, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 311697.0, ""output_tokens"": 47688.0, ""reasoning_tokens"": 44500.0, ""total_tokens"": 359385.0}"
slot_535d91fe7836025ca1b7580b6981e078f1969e0808943b9006f01b2712b3c99a,slot_535d91fe7836025ca1b7580b6981e078f1969e0808943b9006f01b2712b3c99a,scaling,evidence_audit,cost_moderate,poolact,4,max,new,contract-nli/index1,0,direct,"{""EA_MI"": 0.75, ""EA_MV"": 1.0, ""LA_MI"": 0.7205882352941176, ""LA_MV"": 0.9411764705882353}","{""cached_input_tokens"": null, ""input_tokens"": 1185213.0, ""output_tokens"": 165846.0, ""reasoning_tokens"": 159006.0, ""total_tokens"": 1351059.0}"
slot_b9b9c1a080cf2415ce065dd014809947b9b2d6e6964c68c4a81b985d2bfbe508,slot_b9b9c1a080cf2415ce065dd014809947b9b2d6e6964c68c4a81b985d2bfbe508,scaling,evidence_audit,cost_moderate,poolact,6,max,new,contract-nli/index1,0,direct,"{""EA_MI"": 1.0, ""EA_MV"": 1.0, ""LA_MI"": 0.9411764705882352, ""LA_MV"": 0.9411764705882353}","{""cached_input_tokens"": null, ""input_tokens"": 1018396.0, ""output_tokens"": 210071.0, ""reasoning_tokens"": 200290.0, ""total_tokens"": 1228467.0}"
slot_675ea234f4f0e82ba6e82a52fc6b81ae5ff6ee2e22062d1f46e234d3311e9c30,slot_675ea234f4f0e82ba6e82a52fc6b81ae5ff6ee2e22062d1f46e234d3311e9c30,scaling,evidence_audit,cost_moderate,poolact,8,max,new,contract-nli/index1,0,direct,"{""EA_MI"": 0.875, ""EA_MV"": 1.0, ""LA_MI"": 0.8235294117647058, ""LA_MV"": 0.9411764705882353}","{""cached_input_tokens"": null, ""input_tokens"": 1295275.0, ""output_tokens"": 311891.0, ""reasoning_tokens"": 301081.0, ""total_tokens"": 1607166.0}"
slot_df6c3ae89887f7c015a09d15e992523e4996be42b738c84b11fe621af437cccc,slot_df6c3ae89887f7c015a09d15e992523e4996be42b738c84b11fe621af437cccc,scaling,evidence_audit,cost_tight,cached,2,max,new,contract-nli/index3,0,direct,"{""EA_MI"": 0.7352941176470589, ""EA_MV"": 0.7058823529411765, ""LA_MI"": 0.8529411764705882, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 270006.0, ""output_tokens"": 106036.0, ""reasoning_tokens"": 104439.0, ""total_tokens"": 376042.0}"
slot_d262a4e70872f26ce938ed1b0dcab0d616d1c173d15042346f80c3d9df6718cf,slot_d262a4e70872f26ce938ed1b0dcab0d616d1c173d15042346f80c3d9df6718cf,scaling,evidence_audit,cost_tight,cached,4,max,new,contract-nli/index3,0,direct,"{""EA_MI"": 0.8088235294117647, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.838235294117647, ""LA_MV"": 0.8235294117647058}","{""cached_input_tokens"": null, ""input_tokens"": 519853.0, ""output_tokens"": 254388.0, ""reasoning_tokens"": 249732.0, ""total_tokens"": 774241.0}"
slot_42f2a04da2ff3119c3640f6e39c3fdb24f6ed953c08e7c73e8d4ca64cc347b8a,slot_42f2a04da2ff3119c3640f6e39c3fdb24f6ed953c08e7c73e8d4ca64cc347b8a,scaling,evidence_audit,cost_tight,cached,6,max,new,contract-nli/index3,0,direct,"{""EA_MI"": 0.7941176470588235, ""EA_MV"": 0.7647058823529411, ""LA_MI"": 0.8823529411764706, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 1282247.0, ""output_tokens"": 417150.0, ""reasoning_tokens"": 411609.0, ""total_tokens"": 1699397.0}"
slot_b0356ef06f9dea1026fbd03324b8942fef0b9cc91df6da71a0eeb34db66412b7,slot_b0356ef06f9dea1026fbd03324b8942fef0b9cc91df6da71a0eeb34db66412b7,scaling,evidence_audit,cost_tight,cached,8,max,new,contract-nli/index3,0,direct,"{""EA_MI"": 0.7279411764705882, ""EA_MV"": 0.8235294117647058, ""LA_MI"": 0.7426470588235294, ""LA_MV"": 0.8823529411764706}","{""cached_input_tokens"": null, ""input_tokens"": 1563414.0, ""output_tokens"": 585778.0, ""reasoning_tokens"": 576213.0, ""total_tokens"": 2149192.0}"
slot_53c9c3c6938d1f8b726d84ebc68c8ce677f54df23130749ad498d0034ce15296,slot_53c9c3c6938d1f8b726d84ebc68c8ce677f54df23130749ad498d0034ce15296,scaling,evidence_audit,cost_moderate,poolact,2,max,new,contract-nli/index6,0,direct,"{""EA_MI"": 1.0, ""EA_MV"": 1.0, ""LA_MI"": 1.0, ""LA_MV"": 1.0}","{""cached_input_tokens"": null, ""input_tokens"": 1160966.0, ""output_tokens"": 145753.0, ""reasoning_tokens"": 142094.0, ""total_tokens"": 1306719.0}"
slot_de9842c3287546192f761d0a30e57bc53d448d3a16b9e5402f1fe747d51044db,slot_de9842c3287546192f761d0a30e57bc53d448d3a16b9e5402f1fe747d51044db,scaling,evidence_audit,cost_moderate,poolact,4,max,new,contract-nli/index6,0,direct,"{""EA_MI"": 1.0, ""EA_MV"": 1.0, ""LA_MI"": 1.0, ""LA_MV"": 1.0}","{""cached_input_tokens"": null, ""input_tokens"": 1467562.0, ""output_tokens"": 172520.0, ""reasoning_tokens"": 164249.0, ""total_tokens"": 1640082.0}"
