cohort_id,model,segment,resource,definition,scope,known_sum,complete_sum,attempts,known_attempts,unknown_attempts,partial_reported_attempts,status,source_path
kimi_original,kimi-k3,,original_setting_resource_table,inherited_per_setting_resource_export; use original exporter unit definitions,Only retained original settings; registered rerun cells excluded from main inherited_resources.csv,,,,,,,reference_only_not_an_all_attempt_total,inherited_resources.csv
glm_original,glm-5.3,,original_setting_resource_table,inherited_per_setting_resource_export; use original exporter unit definitions,Only retained original settings; registered rerun cells excluded from main inherited_resources.csv,,,,,,,reference_only_not_an_all_attempt_total,inherited_resources.csv
qwen_original,qwen3.8-2.4t-a95b-fp8,,original_setting_resource_table,inherited_per_setting_resource_export; use original exporter unit definitions,Only retained original settings; registered rerun cells excluded from main inherited_resources.csv,,,,,,,reference_only_not_an_all_attempt_total,inherited_resources.csv
deepseek_original,deepseek-v4-flash-0731,,original_setting_resource_table,inherited_per_setting_resource_export; use original exporter unit definitions,Only retained original settings; registered rerun cells excluded from main inherited_resources.csv,,,,,,,reference_only_not_an_all_attempt_total,inherited_resources.csv
gpt_original,gpt-5.6-sol,,original_setting_resource_table,inherited_per_setting_resource_export; use original exporter unit definitions,Only retained original settings; registered rerun cells excluded from main inherited_resources.csv,,,,,,,reference_only_not_an_all_attempt_total,inherited_resources.csv
kimi_rerun_20260912,kimi-k3,,targeted_rerun_resource_table,rerun_setting_totals; not comparable by direct summation with original means,Registered rerun subset only,,,,,,,reference_only,https://github.com/tiannuo-yang/LLM_ExpGym/blob/b9483acbac11c0d3787618d8bdf1fc95c09ddcab/results/eval-material-rerun-20260912/resources_by_setting.csv
glm_rerun_20260912,glm-5.3,,targeted_rerun_resource_table,rerun_setting_totals; not comparable by direct summation with original means,Registered rerun subset only,,,,,,,reference_only,https://github.com/tiannuo-yang/LLM_ExpGym/blob/b9483acbac11c0d3787618d8bdf1fc95c09ddcab/results/eval-material-rerun-20260912/resources_by_setting.csv
deepseek_rerun_20260912,deepseek-v4-flash-0731,,targeted_rerun_resource_table,rerun_setting_totals; not comparable by direct summation with original means,Registered rerun subset only,,,,,,,reference_only,https://github.com/tiannuo-yang/LLM_ExpGym/blob/b9483acbac11c0d3787618d8bdf1fc95c09ddcab/results/eval-material-rerun-20260912/resources_by_setting.csv
gpt_rerun_20260912,gpt-5.6-sol,,targeted_rerun_resource_table,rerun_setting_totals; not comparable by direct summation with original means,Registered rerun subset only,,,,,,,reference_only,https://github.com/tiannuo-yang/LLM_ExpGym/blob/b9483acbac11c0d3787618d8bdf1fc95c09ddcab/results/eval-material-rerun-20260912/resources_by_setting.csv
gpt_original,gpt-5.6-sol,all,raw_input_tokens,original_client_to_endpoint_all_attempt_reported_subtotal,"Original GPT cohort, including failed attempts; not latest mixed-table resource total",120478791,,14682,,13,,known_subtotal_full_total_unknown,https://github.com/tiannuo-yang/LLM_ExpGym/blob/6c63f1c03c88683fa55be5cafcbb8122ac8fadaa/results/five-model-ranking-20260911/inputs/api_resources.csv
